Camera Time (s),A X (μm),A Y (μm),A Z (μm),B X (μm),B Y (μm),B Z (μm)
0.42124765832521416,6.678625525474548,7.89968004322052,-0.4048089881708126,7.409591345230117,7.859385641098022,-0.05647725519236951
0.49219335303261685,6.677246527671813,7.89909020280838,-0.4048208909667364,7.408917636272497,7.860198225021362,-0.057485214180521445
0.5631390477400195,6.679128447532653,7.898459009170532,-0.4044906356131676,7.408772822001948,7.860033926010131,-0.056478388791981304
0.6340685643604432,6.678948762893676,7.898762718677521,-0.40458226824845417,7.41021409453079,7.85942494058609,-0.055542602312446815
0.7050142590678459,6.678115432739258,7.898526573657989,-0.40454693772721995,7.408821022968739,7.860408123970031,-0.05683547266969586
0.7759599537752486,6.679214565277099,7.897849501609802,-0.4044932806789285,7.409674942288315,7.859267673015594,-0.055300578795329174
0.8468894703956723,6.678797204017639,7.8993715648651115,-0.40457943424942466,7.410533810178749,7.860090908527374,-0.057010047009911864
0.9178351651030751,6.67762559890747,7.898781341552734,-0.40486453455179044,7.408172593517229,7.860044577598571,-0.05717082922151773
0.9887808598104777,6.679185047149658,7.898717571258544,-0.4046703111516367,7.410220252480357,7.86012554359436,-0.057822837931566895
1.0597103764309015,6.677829998016357,7.8970287027359,-0.404592092778423,7.408939992832951,7.85964796257019,-0.053108386079391626
1.130656071138304,6.67734768295288,7.898412643432617,-0.404652173557848,7.408830982522107,7.858829217433929,-0.056843407866978404
1.2016017658457068,6.67941520500183,7.898699644565582,-0.40449894867698744,7.410074873173609,7.859865972042083,-0.057260572524117946
1.2725312824661306,6.679169661521911,7.898664208889007,-0.4053786219757382,7.409659805746283,7.860686562061309,-0.05539202249734708
1.343476977173533,6.678545325279235,7.8989730701446526,-0.40464820595920675,7.4099731583972455,7.859235927104949,-0.05573833717874961
1.4144064937939569,6.679154275894165,7.899004433155059,-0.40459813864301925,7.410084033613093,7.859540228366852,-0.05559115816248525
1.4853521885013596,6.679424951553345,7.89861794757843,-0.40467390088374067,7.409541384329553,7.859700976848602,-0.055204978561401365
1.5562978832087622,6.678911099433899,7.897928030967712,-0.4045909591788112,7.410153116036206,7.859934720039367,-0.054863198278446004
1.627227399829186,6.677682476997375,7.898405472755432,-0.40490421053820314,7.409158782552462,7.859862560749053,-0.05666070939621123
